user_id,recipe_id,time,behavior_type
1,241,2025-06-03 15:43:52,cook
1,228,2025-06-03 15:56:52,cook
1,1040,2025-06-04 22:42:52,cook
1,1775,2025-06-06 00:23:52,cook
1,1159,2025-06-07 19:40:52,cook
1,2485,2025-06-14 15:30:03,favorite
1,701,2025-06-14 15:30:03,favorite
1,2015,2025-06-15 15:30:03,favorite
1,682,2025-06-15 15:30:03,favorite
1,1697,2025-06-17 03:23:52,cook
1,2641,2025-06-21 12:56:52,cook
1,683,2025-06-23 15:30:03,favorite
1,1174,2025-06-23 15:30:03,favorite
1,1072,2025-06-24 08:25:52,cook
1,1379,2025-06-28 00:11:52,cook
1,2455,2025-06-29 23:35:52,cook
1,1966,2025-07-03 01:46:52,cook
1,2304,2025-07-04 15:58:17,favorite
1,769,2025-07-04 15:58:22,favorite
1,1280,2025-07-04 17:12:24,favorite
1,17,2025-07-04 19:07:10,favorite
1,1792,2025-07-04 20:03:39,cook
1,2560,2025-07-04 20:03:59,cook
1,768,2025-07-05 01:33:39,cook
1,1024,2025-07-05 01:40:42,cook
1,512,2025-07-05 02:54:40,cook
1,2564,2025-07-05 03:10:12,cook
1,257,2025-07-05 03:33:58,cook
1,57,2025-07-05 03:35:46,cook
1,234,2025-07-05 04:06:16,cook
1,1185,2025-07-05 12:35:03,favorite
1,15,2025-07-05 13:10:17,favorite
1,45,2025-07-05 13:10:24,favorite
1,58,2025-07-05 13:10:28,favorite
1,515,2025-07-05 13:10:38,favorite
1,652,2025-07-05 13:10:40,favorite
1,499,2025-07-05 13:10:43,favorite
1,2091,2025-07-05 13:10:54,favorite
1,469,2025-07-05 15:06:57,cook
1,497,2025-07-05 15:07:14,cook
1,744,2025-07-05 15:07:23,cook
1,838,2025-07-05 15:07:38,cook
1,711,2025-07-05 15:08:01,cook
1,967,2025-07-05 15:08:08,cook
1,11,2025-07-05 15:41:46,cook
1,26,2025-07-05 16:34:17,favorite
1,68,2025-07-05 16:36:09,cook
1,391,2025-07-05 16:46:46,cook
1,1,2025-07-06 03:36:31,favorite
1,1489,2025-07-06 03:39:59,cook
1,256,2025-07-11 02:45:49,cook
1,34,2025-07-11 02:57:23,favorite
1,1285,2025-09-07 14:55:00,favorite
1,1029,2025-09-07 14:55:01,favorite
1,1536,2026-01-05 15:02:00,cook
2,2813,2025-06-05 15:14:52,cook
2,2492,2025-06-08 15:30:03,favorite
2,892,2025-06-09 11:02:52,cook
2,156,2025-06-09 15:30:03,favorite
2,522,2025-06-10 15:04:52,cook
2,1369,2025-06-11 15:30:03,favorite
2,2520,2025-06-12 15:30:03,favorite
2,1520,2025-06-13 15:30:03,favorite
2,184,2025-06-14 15:30:03,favorite
2,980,2025-06-14 18:22:52,cook
2,1879,2025-06-15 17:31:52,cook
2,512,2025-06-18 01:08:52,cook
2,1643,2025-06-21 15:30:03,favorite
2,2743,2025-06-23 02:15:52,cook
2,1162,2025-06-24 17:10:52,cook
2,1080,2025-06-26 15:30:03,favorite
2,2366,2025-06-27 05:02:52,cook
2,1945,2025-06-28 15:30:03,favorite
2,1751,2025-06-28 15:30:03,favorite
2,705,2025-06-30 15:30:03,favorite
2,1087,2025-07-01 14:24:52,cook
2,1754,2025-07-03 13:10:52,cook
2,2146,2025-07-03 14:44:52,cook
3,1939,2025-06-03 15:30:03,favorite
3,1704,2025-06-06 15:30:03,favorite
3,1337,2025-06-07 04:39:52,cook
3,73,2025-06-07 15:30:03,favorite
3,2821,2025-06-14 01:46:52,cook
3,949,2025-06-18 13:15:52,cook
3,1134,2025-06-19 10:39:52,cook
3,2158,2025-06-19 15:30:03,favorite
3,297,2025-06-22 05:35:52,cook
3,422,2025-06-25 05:32:52,cook
3,2455,2025-06-28 15:30:03,favorite
3,33,2025-07-01 10:01:52,cook
3,2125,2025-07-01 15:30:03,favorite
3,236,2025-07-01 15:30:03,favorite
